trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",25,0,-130.47955970491748,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.8999999999999999}",20,0,-114.87725268020779,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.8499999999999999}",20,0,-151.52795097144798,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.3, 'e': 0.7999999999999998}",30,0,-226.98140512333984,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
5,False,"{'a': 0.3, 'e': 0.7499999999999998}",20,0,-142.39698295157098,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.6999999999999997}",20,0,-91.77202521300202,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.6499999999999997}",25,0,-88.51116339475067,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.5999999999999996}",20,0,-34.19654237284149,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.5499999999999996}",25,0,-78.07855696407132,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.4999999999999996}",25,0,-102.01645206230987,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.4499999999999996}",25,13,-22.100179923512826,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.3, 'e': 0.39999999999999963}",20,0,-27.36693204551536,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.34999999999999964}",25,0,-225.54506128536957,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 5}",0
14,False,"{'a': 0.3, 'e': 0.29999999999999966}",25,0,-26.09646817547814,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.24999999999999967}",20,15,7.506460104098941,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.19999999999999968}",25,0,-1.1184847479422264,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.1499999999999997}",20,0,22.61903756810841,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.09999999999999969}",30,0,-28.247623862842627,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.049999999999999684}",20,10,-27.678200252090576,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.3, 'e': -3.191891195797325e-16}",20,0,-15.431674943155427,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,1,5.259091061690297,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-1.6345423079979737,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-1.9025705655362428,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,13,17.75817038112123,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,-28.37918704903786,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,11,22.811635410263506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,10.127253011537404,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,8,-0.6337297390284471,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,9,14.631399291360795,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,-35.922662659376705,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
