trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.080716854411035,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-31.388439713533998,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-56.509556479733874,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-6.368259179477562,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-11.417371126092226,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.57470330545176,"{0: 11, 1: 14, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-19.648037184830038,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.79757102493828,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.000172180139003,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,0.05752588719073293,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-34.8238953973024,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.301945238091278,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.374040681800725,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.992533392319984,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.313856529773304,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.126725906304205,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-29.370497484164236,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.639678596399545,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.658662886221755,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-8.454155456796617,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 1.0}",30,0,-39.61380417423094,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.847351542742832,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 1.0}",35,0,-39.41032245486572,"{0: 22, 1: 13, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.293492561241656,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.084518787133945,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.630067414652906,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.24450009216038,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.51034954726125,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.194126280739827,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.76796745092007,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.53144880958165,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,0,-21.05662332729095,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.79128799712163,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.164182269911436,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.828579888126285,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.191038618523265,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.29660045986631,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 1.0}",25,0,-26.936409317397207,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.89573213372912,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 1.0}",30,0,-42.11918956240512,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 1.0}",30,0,-37.954846556037765,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.7200665537692776,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 1.0}",35,0,-28.217760026716974,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,0,-12.335366134696443,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.288185862444276,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.0822189185017,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 1.0}",30,0,-31.01630875159387,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.297685263101075,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.113260306296315,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.58860884030206,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 1.0}",35,0,-61.77791149103713,"{0: 17, 1: 18, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 1.0}",35,0,-29.72304826139196,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.11890603996371,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.595705214084596,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.741128186601326,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.448304867935214,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.93003233207879,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.852927763419203,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.476177324249186,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 1.0}",25,0,-4.793392478760175,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 1.0}",25,0,-20.063923306654438,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 1.0}",30,0,-27.283081181497252,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 1.0}",20,0,-5.407175888350459,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.488036024196761,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.611330453884154,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
