trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",25,0,-93.40266191621315,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.999995500003375}",20,0,-103.00865696530039,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.999982000054}",25,0,-253.18587370781955,"{0: 9, 1: 4, 2: 7, 3: 1, 4: 4}",0
4,False,"{'a': 0.4, 'e': 0.9999595002733742}",20,0,-102.04586502545878,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9999280008639958}",25,0,-133.77581490184338,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.9998875021093592}",20,0,-120.6876227750491,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.9998380043739528}",20,0,-88.33482495745605,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9997795081032559}",25,0,-144.17138838211093,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9997120138237345}",25,0,-136.16692610134461,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.9996355221428369}",20,0,-209.1769332920108,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.4, 'e': 0.9995500337489875}",30,0,-168.0453051662967,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.4, 'e': 0.9994555494115813}",20,0,-172.04970405816601,"{0: 8, 1: 4, 2: 2, 3: 5, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.9993520699809768}",35,0,-289.5666807506704,"{0: 22, 1: 0, 2: 5, 3: 3, 4: 5}",0
14,False,"{'a': 0.4, 'e': 0.999239596388488}",20,0,-73.20971464862006,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.9991181296463766}",25,0,-74.58382629620685,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.9989876708478425}",30,0,-199.78182092631502,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.4, 'e': 0.9988482211670138}",20,0,-51.614395382585684,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.9986997818589368}",25,0,-120.88536809494254,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.4, 'e': 0.9985423542595644}",20,0,-82.41669732391564,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.9983759397857438}",20,0,-75.48268487769185,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.4, 'e': 0.9982005399352042}",20,0,-117.72700529535278,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.9980161562865429}",25,0,-75.18038893542003,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.9978227904992117}",20,3,-121.6442268810388,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
24,False,"{'a': 0.4, 'e': 0.9976204443135014}",25,0,-127.4600790359641,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.4, 'e': 0.9974091195505261}",20,0,-173.1038138387894,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
26,False,"{'a': 0.4, 'e': 0.9971888181122075}",25,0,-153.5913613087675,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.9969595419812568}",25,0,-68.43335303323019,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.9967212932211577}",20,1,-102.12242663725266,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 1}",1
29,False,"{'a': 0.4, 'e': 0.9964740739761475}",20,0,-182.2230279127003,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
30,False,"{'a': 0.4, 'e': 0.9962178864711978}",25,0,-115.79493855927157,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
31,False,"{'a': 0.4, 'e': 0.9959527330119943}",25,0,-170.36661031813136,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
32,False,"{'a': 0.4, 'e': 0.9956786159849162}",25,0,-165.37314635556186,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.4, 'e': 0.9953955378570153}",20,0,-73.25006083807897,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.4, 'e': 0.9951035011759926}",25,0,-157.73504754520548,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
35,False,"{'a': 0.4, 'e': 0.994802508570176}",25,0,-132.68074154147072,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
36,False,"{'a': 0.4, 'e': 0.9944925627484974}",20,0,-151.00205147209246,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
37,False,"{'a': 0.4, 'e': 0.9941736665004669}",25,11,-25.630796759639573,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
38,False,"{'a': 0.4, 'e': 0.9938458226961485}",25,4,-156.38619941480377,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 2}",1
39,False,"{'a': 0.4, 'e': 0.9935090342861342}",25,10,2.46253159006247,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.4, 'e': 0.9931633043015177}",30,0,-163.47766604792747,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.9928086358538663}",20,7,-60.3386273548224,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
42,False,"{'a': 0.4, 'e': 0.9924450321351935}",25,0,-135.72598840638594,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
43,False,"{'a': 0.4, 'e': 0.9920724964179307}",30,4,-167.41944329870623,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 2}",1
44,False,"{'a': 0.4, 'e': 0.9916910320548965}",25,0,-147.27572554444723,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
