trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.81465120920123,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.88288600021804,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.08313721547842,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.7608948659704824,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,12,-31.623586593807527,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.1680393597603,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.72497555148794,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.84816461241064,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.90873755810534,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.86742691133077,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.3916952818787,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.39325004621446,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.71552768049833,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.15729669190161,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,14,-127.40885899969072,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.08990435493236,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,3,-88.217773786122,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.90794084785614,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.8765347494908,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.88411505248425,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.67972306526602,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
